title,genre,language,imdb_score,premiere,runtime,year
Kevin Hart's Guide to Black History,Variety show,English,5.5,2/8/2019,63,2019
Secret Obsession,Thriller,English,4.4,7/18/2019,97,2019
Apostle,Horror-thriller,English,6.3,10/12/2018,129,2018
The Polka King,Comedy-drama,English,5.9,1/12/2018,95,2018
American Factory,Documentary,English,7.4,8/21/2019,110,2019
Sentinelle,Action,French,4.7,3/5/2021,80,2021
Paradox,Musical/Western/Fantasy,English,3.9,3/23/2018,73,2018
Coin Heist,Heist,English,4.8,1/6/2017,97,2017
A California Christmas,Romantic comedy,English,5.8,12/14/2020,107,2020
The Killer,Western,Portuguese,6.1,11/10/2017,99,2017
Tall Girl,Comedy-drama,English,5.2,9/13/2019,102,2019
Uncorked,Drama,English,6.3,3/27/2020,103,2020
Outside the Wire,Action/Science fiction,English,5.4,1/15/2021,114,2021
El Camino Christmas,Dark comedy,English,5.7,12/8/2017,89,2017
The Beast,Drama,Italian,5.2,11/27/2020,99,2020
The Trial of the Chicago 7,Drama,English,7.8,10/16/2020,130,2020
The American Meme,Documentary,English,6.6,12/7/2018,98,2018
The White Tiger,Drama,English,7.1,1/22/2021,125,2021
Holiday Rush,Family film,English,4.9,11/28/2019,94,2019
Hope Frozen: A Quest to Live Twice,Documentary,Thia/English,6.7,9/15/2020,80,2020
The Paramedic,Thriller,Spanish,5.6,9/16/2020,94,2020
Irreplaceable You,Drama,English,6.4,2/16/2018,96,2018
The Princess Switch,Romantic comedy,English,6,11/16/2018,101,2018
House Arrest,Comedy,Hindi,5.5,11/15/2019,104,2019
Yeh Ballet,Drama,Hindi,7.6,2/21/2020,117,2020
The Other One: The Long Strange Trip of Bob Weir,Documentary,English,7.3,5/22/2015,83,2015
Imperial Dreams,Drama,English,6.7,2/3/2017,87,2017
ReMastered: Who Killed Jam Master Jay?,Documentary,English,6.6,12/7/2018,58,2018
All Because of You,Action comedy,Malay,4.2,10/1/2020,101,2020
Seeing Allred,Documentary,English,6.9,2/9/2018,95,2018
Sand Castle,War,English,6.3,4/21/2017,113,2017
Caught by a Wave,Romantic teen drama,Italian,5.7,3/25/2021,99,2021
Ginny Weds Sunny,Romantic comedy,Hindi,5.7,10/9/2020,125,2020
Dance Dreams: Hot Chocolate Nutcracker,Documentary,English,7.1,11/27/2020,80,2020
What Would Sophia Loren Do?,Documentary,English,6.6,1/15/2021,32,2021
Springsteen on Broadway,One-man show,English,8.5,12/16/2018,153,2018
The Main Event,Comedy,English,4.8,4/10/2020,101,2020
I'm No Longer Here,Drama,Spanish,7.3,5/27/2020,105,2020
Blackpink: Light Up the Sky,Documentary,Korean,7.5,10/14/2020,79,2020
Chopsticks,Comedy,Hindi,6.5,5/31/2019,100,2019
Circus of Books,Documentary,English,7.1,4/22/2020,92,2020
The Legend of Cocaine Island,Documentary,English,6.3,3/29/2019,87,2019
Ma Rainey's Black Bottom,Drama,English,7,12/18/2020,94,2020
Elisa & Marcela,Romance,Spanish,6.6,6/7/2019,118,2019
Seriously Single,Comedy,English,4.5,7/31/2020,107,2020
The Call,Drama,Korean,4.1,11/27/2020,112,2020
Angela's Christmas,Animation,English,7.1,11/30/2018,30,2018
Get the Goat,Comedy,Portuguese,6.3,3/18/2021,97,2021
What Did Jack Do?,Drama / Short,English,6.5,1/20/2020,17,2020
When We First Met,Romantic comedy,English,6.4,2/9/2018,97,2018
Alex Strangelove,Romantic comedy,English,6.3,6/8/2018,99,2018
The Mars Generation,Documentary,English,6.4,5/5/2017,97,2017
Bulbbul,Horror,Hindi,6.6,6/24/2020,94,2020
The Great Hack,Documentary,English,7.1,7/24/2019,114,2019
How It Ends,Action-thriller,English,5,7/13/2018,113,2018
The Incredible Jessica James,Comedy,English,6.5,7/28/2017,83,2017
The Forest of Love,Drama,Japanese,6.3,10/11/2019,151,2019
Still Laugh-In: The Stars Celebrate,Variety show,English,5.2,5/14/2019,60,2019
Canvas ,Animation / Short,English,6.5,12/11/2020,9,2020
Firebrand,Drama,Marathi,5.2,2/22/2019,112,2019
#REALITYHIGH,Comedy,English,5.2,9/8/2017,99,2017
Rattlesnake,Horror,English,4.6,10/25/2019,85,2019
Murder to Mercy: The Cyntoia Brown Story,Documentary,English,6.4,4/29/2020,97,2020
Sextuplets,Comedy,English,4.4,8/16/2019,99,2019
Cuba and the Cameraman ,Documentary,English,8.3,11/24/2017,114,2017
Christmas Inheritance,Romantic drama,English,5.7,12/15/2017,104,2017
Mank,Biopic,English,6.9,12/4/2020,132,2020
The Crimes That Bind,Crime drama,Spanish,6.6,8/20/2020,99,2020
Red Dot,Thriller,Swedish,5.5,2/11/2021,86,2021
Ghosts of Sugar Land,Documentary,English,5.5,10/16/2019,21,2019
The Last Days of American Crime,Heist film/Thriller,English,3.7,6/5/2020,149,2020
Lionheart,Comedy,English,5.7,1/4/2019,94,2019
Dolly Kitty and Those Twinkling Stars,Drama,Hindi,5.4,9/18/2020,120,2020
"Bikram: Yogi, Guru, Predator",Documentary,English,6.7,11/20/2019,86,2019
Strong Island,Documentary,English,6.4,9/15/2017,107,2017
A Secret Love,Documentary,English,7.9,4/29/2020,82,2020
Space Sweepers,Science fiction,Korean,6.6,2/5/2021,136,2021
Seventeen,Coming-of-age comedy-drama,Spanish,7.2,10/18/2019,99,2019
Nobody Knows I'm Here,Drama,Spanish,6.5,6/24/2020,91,2020
The Laundromat,Comedy-drama,English,6.3,10/18/2019,98,2019
The Meyerowitz Stories (New and Selected),Comedy-drama,English,6.9,10/13/2017,112,2017
"Lorena, Light-Footed Woman",Documentary,Spanish,7,11/20/2019,28,2019
End Game,Documentary,English,7.1,5/4/2018,40,2018
The Babysitter: Killer Queen,Comedy/Horror,English,5.8,9/10/2020,102,2020
iBoy,Science fiction/Thriller,English,6,1/27/2017,90,2017
I Am Not an Easy Man,Romantic comedy,French,6.3,4/13/2018,98,2018
Ride or Die,Psychological thriller drama,Japanese,5.5,4/15/2021,142,2021
The Angel,Spy thriller,English,6.6,9/14/2018,114,2018
Get the Grift,Comedy,Portuguese,5.5,4/28/2021,94,2021
Concrete Cowboy,Drama,English,6.3,4/2/2021,111,2021
Porta dos Fundos: The Last Hangover,Comedy,Portuguese,6.3,12/21/2018,44,2018
Tig,Documentary,English,7.4,7/17/2015,80,2015
The Midnight Sky,Science fiction,English,5.6,12/23/2020,118,2020
Ultras,Sports film,Italian,5.9,3/20/2020,108,2020
Tony Robbins: I Am Not Your Guru,Documentary,English,6.7,7/15/2016,116,2016
June & Kopi,Drama,Indonesian,6.3,1/28/2021,90,2021
We Are One,Documentary,French,4.6,7/14/2020,86,2020
Monster,Drama,English,6.5,5/7/2021,98,2021
Grass Is Greener,Documentary,English,7.1,4/20/2019,97,2019
Hubie Halloween,Comedy,English,5.2,10/7/2020,103,2020
Little Evil,Comedy horror,English,5.7,9/1/2017,94,2017
Ferry,Crime drama,Dutch,7.1,5/14/2021,106,2021
Desperados,Romantic comedy,English,5.2,7/3/2020,106,2020
Holidate,Romantic comedy/Holiday,English,6.1,10/28/2020,104,2020
Lust Stories,Drama,Hindi,6.5,6/15/2018,120,2018
Under the Riccione Sun,Romantic teenage drama,Italian,5.4,7/1/2020,101,2020
Burning Sands,Drama,English,6.1,3/10/2017,102,2017
Dead Kids,Thriller,Filipino,5.5,12/1/2019,94,2019
Spenser Confidential,Action comedy,English,6.2,3/6/2020,111,2020
Mucho Mucho Amor: The Legend of Walter Mercado ,Documentary,Spanish/English,7.3,7/8/2020,96,2020
Tallulah,Comedy-drama,English,6.7,7/29/2016,111,2016
Step Sisters,Comedy,English,5.5,1/19/2018,108,2018
The Most Assassinated Woman in the World,Thriller,French,5.3,9/7/2018,102,2018
Serious Men,Drama,Hindi,6.8,10/2/2020,114,2020
All Together Now,Drama,English,6.5,8/28/2020,93,2020
Win It All,Comedy,English,6.2,4/7/2017,88,2017
Offering to the Storm,Thriller,Spanish,6.2,7/24/2020,139,2020
"Hello Privilege. It's Me, Chelsea",Documentary,English,4.4,9/13/2019,64,2019
The Claudia Kishi Club,Documentary,English,6.9,7/10/2020,17,2020
The White Helmets,Documentary,English,7.5,9/16/2016,40,2016
The Do-Over,Action comedy,English,5.7,5/27/2016,108,2016
The Old Guard,Superhero/Action,English,6.7,7/10/2020,124,2020
Tigertail,Drama,English/Taiwanese/Mandarin,6.5,4/10/2020,91,2020
Recovery Boys,Documentary,English,6.6,6/29/2018,89,2018
Rajma Chawal,Comedy-drama,Hindi,5.8,11/30/2018,118,2018
The Kissing Booth,Romantic comedy,English,6,5/11/2018,105,2018
The Trader,Documentary,Georgian,6.8,2/9/2018,23,2018
Benji,Family film,English,6.3,3/16/2018,87,2018
15-Aug,Comedy-drama,Marathi,5.8,3/29/2019,124,2019
Chadwick Boseman: Portrait of an Artist,Documentary,English,6.5,4/17/2021,21,2021
Kingdom of Us,Documentary,English,7,10/13/2017,109,2017
Audrie & Daisy,Documentary,English,7.2,9/23/2016,98,2016
5 Star Christmas,Comedy,Italian,4.6,12/7/2018,95,2018
Father Soldier Son,Documentary,English,7.3,7/17/2020,100,2020
The Occupant,Thriller,Spanish,6.4,3/25/2020,103,2020
Gunjan Saxena: The Kargil Girl,Drama,Hindi,5.3,8/12/2020,112,2020
See You Yesterday,Science fiction,English,5.2,5/17/2019,87,2019
Pee-wee's Big Holiday,Adventure,English,6.1,3/18/2016,89,2016
Anelka: Misunderstood,Documentary,French,6.4,8/5/2020,94,2020
Oxygen,Science fiction thriller,French,6.5,5/12/2021,101,2021
Tony Parker: The Final Shot,Documentary,French,6.8,1/6/2021,98,2021
His House,Thriller,English,6.5,10/30/2020,93,2020
13th,Documentary,English,8.2,10/7/2016,100,2016
Ladies First,Documentary,English/Hindi,7.2,3/8/2018,39,2018
Calibre,Thriller,English,6.8,6/29/2018,101,2018
Lost Girls,Crime drama,English,6.1,3/13/2020,95,2020
Brahman Naman,Comedy,English,5.6,7/7/2016,95,2016
Girlfriend's Day,Comedy,English,5.2,2/14/2017,70,2017
Anima,Musical / Short,English,7.7,6/27/2019,15,2019
The Irishman,Crime drama,English,7.8,11/27/2019,209,2019
Dolly Parton: A MusiCares Tribute,Documentary,English,6.5,4/7/2021,55,2021
IO,Science fiction/Drama,English,4.7,1/18/2019,95,2019
After Maria,Documentary,English/Spanish,4.6,5/24/2019,37,2019
Amanda Knox,Documentary,English,6.9,9/30/2016,92,2016
Dad Wanted,Family,Spanish,5.7,9/11/2020,102,2020
To All the Boys: P.S. I Still Love You,Romantic comedy,English,6,2/12/2020,102,2020
Naked,Comedy,English,5.4,8/11/2017,96,2017
Guilty,Thriller,Hindi,5.4,3/6/2020,119,2020
To All the Boys I've Loved Before,Romantic comedy,English,7.1,8/17/2018,99,2018
Tribhanga ? Tedhi Medhi Crazy,Drama,Hindi,6.1,1/15/2021,95,2021
Team Foxcatcher,Documentary,English/Russian,7.3,4/29/2016,90,2016
The Players,Comedy,Italian,4.6,7/15/2020,88,2020
Take Your Pills,Documentary,English,6.4,3/16/2018,87,2018
13th: A Conversation with Oprah Winfrey & Ava DuVernay,Aftershow / Interview,English,7.1,1/26/2017,36,2017
Wheelman,Action thriller,English,6.4,10/20/2017,82,2017
Resurface,Documentary,English,7,9/1/2017,27,2017
Dangerous Lies,Thriller,English,5.3,4/30/2020,97,2020
A Life of Speed: The Juan Manuel Fangio Story,Documentary,Spanish,6.8,3/20/2020,92,2020
One of Us,Documentary,English,7.1,10/20/2017,95,2017
A Tale of Two Kitchens,Documentary,English/Spanish,6.3,5/22/2019,30,2019
Over the Moon,Animation/Musical/Adventure,English,6.4,10/23/2020,95,2020
Raat Akeli Hai,Thriller,Hindi,7.3,7/31/2020,149,2020
Two Catalonias,Documentary,Spanish/Catalan,6.4,9/28/2018,116,2018
Keith Richards: Under the Influence,Documentary,English,7.1,9/18/2015,81,2015
ReMastered: Who Shot the Sheriff?,Documentary,English,6.9,10/12/2018,57,2018
Like Father,Comedy,English,6.1,8/3/2018,103,2018
ReMastered: The Two Killings of Sam Cooke,Documentary,English,7.3,2/8/2019,64,2019
Winter on Fire: Ukraine's Fight for Freedom,Documentary,English/Ukranian/Russian,8.4,10/9/2015,91,2015
Hold the Dark,Thriller,English,5.6,9/28/2018,125,2018
Below Zero,Drama,Spanish,6.2,1/29/2021,106,2021
Sierra Burgess Is a Loser,Romantic comedy-drama,English,5.8,9/7/2018,105,2018
Casting JonBenet,Documentary,English,6.1,4/28/2017,80,2017
The Half of It,Romance,English,6.9,5/1/2020,105,2020
Sometimes,Drama,Tamil,7.2,5/1/2018,101,2018
Just Another Christmas,Comedy,Portuguese,6.7,12/3/2020,101,2020
Otherhood,Comedy,English,6.1,8/2/2019,100,2019
Octonauts & the Caves of Sac Actun,Animation,English,6.2,8/14/2020,72,2020
CounterPunch ,Documentary,English,6.7,6/16/2017,91,2017
Octonauts & the Great Barrier Reef,Animation,English,7.3,10/13/2020,47,2020
The Claus Family,Fantasy,Dutch,5.8,12/7/2020,96,2020
Moxie,Drama,English,6.7,3/3/2021,111,2021
The Woman in the Window,Psychological thriller,English,5.7,5/14/2021,100,2021
The Last Thing He Wanted,Political thriller,English,4.3,2/21/2020,115,2020
The Fundamentals of Caring,Comedy-drama,English,7.3,6/24/2016,97,2016
We Can Be Heroes,Superhero,English,4.7,12/25/2020,100,2020
Bird Box,Psychological thriller,English,6.6,12/21/2018,124,2018
Love per Square Foot,Romantic comedy,Hindi,7.2,2/14/2018,133,2018
Nappily Ever After,Comedy-drama,English,6.4,9/21/2018,98,2018
The Dirt,Biopic,English,7,3/22/2019,108,2019
All in My Family,Documentary,English/Mandarin,6.8,5/3/2019,39,2019
Cadaver,Horror,Norwegian,5.1,10/22/2020,86,2020
Murder Mystery,Comedy mystery,English,6,6/14/2019,97,2019
Class of '83,Drama,Hindi,5.8,8/21/2020,98,2020
The Legacy of a Whitetail Deer Hunter,Adventure/Comedy,English,5.5,7/6/2018,83,2018
XOXO,Drama,English,5.3,8/26/2016,92,2016
Whipped,Romantic comedy,Indonesian,4.1,9/18/2020,97,2020
Velvet Buzzsaw,Thriller,English,5.7,2/1/2019,112,2019
The Death and Life of Marsha P. Johnson,Documentary,English,7.3,10/6/2017,105,2017
Alien Xmas,Stop Motion,English,6.2,11/20/2020,42,2020
Kaali Khuhi,Mystery,Hindi,3.4,10/30/2020,90,2020
Hillbilly Elegy,Drama,English,6.7,11/24/2020,117,2020
Little Miss Sumo,Documentary,Japanese,6.7,10/28/2019,19,2019
Leyla Everlasting,Comedy,Turkish,3.7,12/4/2020,112,2020
Isi & Ossi,Romantic comedy,German,6.4,2/14/2020,113,2020
Love Wedding Repeat,Romantic comedy,English,5.5,4/10/2020,100,2020
Heroin(e) ,Documentary,English,6.8,9/12/2017,39,2017
Long Live Brij Mohan,Comedy,Hindi,6.8,8/3/2018,105,2018
Shawn Mendes: Live in Concert,Concert Film,English,7.4,11/25/2020,87,2020
Eurovision Song Contest: The Story of Fire Saga,Musical comedy,English,6.5,6/26/2020,123,2020
Who Would You Take to a Deserted Island?,Drama,Spanish,5.3,4/12/2019,93,2019
Wine Country,Comedy,English,5.5,5/10/2019,103,2019
Let It Snow,Romantic comedy,English,5.8,11/8/2019,92,2019
To the Bone,Drama,English,6.8,7/14/2017,107,2017
Gerald's Game,Horror thriller,English,6.5,9/29/2017,103,2017
It Takes a Lunatic,Documentary,English,6.6,10/25/2019,126,2019
Laerte-se,Documentary,Portuguese,6.9,5/19/2017,100,2017
Guillermo Vilas: Settling the Score,Documentary,Spanish,7.1,10/27/2020,94,2020
Secrets of the Saqqara Tomb,Documentary,English/Arabic,7.3,10/28/2020,114,2020
Things Heard & Seen,Horror,English,5.3,4/29/2021,121,2021
ARQ,Science fiction/Thriller,English,6.4,9/16/2016,88,2016
Outlaw King,Historical-epic,English,6.9,11/9/2018,121,2018
Emicida: AmarElo - It's All For Yesterday,Documentary,Portuguese,8.6,12/8/2020,89,2020
Athlete A,Documentary,English,7.6,6/24/2020,104,2020
Marriage Story,Drama,English,7.9,12/6/2019,136,2019
Dolly Parton's Christmas on the Square,Christmas musical,English,5.2,11/22/2020,98,2020
The Package,Black comedy,English,5.5,8/10/2018,94,2018
Unknown Origins,Thriller,Spanish,6.1,8/28/2020,96,2020
Roma,Drama,Spanish,7.7,12/14/2018,135,2018
"Love, Guaranteed",Romantic comedy,English,5.6,9/3/2020,91,2020
Rich in Love,Romantic comedy,Portuguese,5.8,4/30/2020,105,2020
Bigflo & Oil: Hip Hop Frenzy,Documentary,French,6.9,10/8/2020,100,2020
Private Life,Drama,English,7.2,10/5/2018,124,2018
The Most Hated Woman in America,Biopic,English,6.1,3/24/2017,92,2017
Beats,Drama,English,7.1,6/19/2019,110,2019
Shirkers,Documentary,English,7.4,10/26/2018,97,2018
Drive,Action,Hindi,3.5,11/1/2019,147,2019
City of Joy,Documentary,English,7.5,9/7/2018,74,2018
Blue Miracle,Drama,English,6.7,5/27/2021,95,2021
David Attenborough: A Life on Our Planet,Documentary,English,9,10/4/2020,83,2020
The Other Side of the Wind,Drama,English,6.8,11/2/2018,122,2018
One-Way to Tomorrow,Romance,Turkish,5.6,6/19/2020,90,2020
The App,Science fiction/Drama,Italian,2.6,12/26/2019,79,2019
Derren Brown: Sacrifice,Mentalism special,English,7.1,10/19/2018,49,2018
The Night Comes for Us,Action-thriller,Indonesian,7,10/19/2018,121,2018
John Mulaney & the Sack Lunch Bunch,Variety show,English,7.5,12/24/2019,70,2019
The Bleeding Edge,Documentary,English,7.6,7/27/2018,100,2018
Triple Frontier,Action-thriller,English,6.4,3/13/2019,125,2019
Into the Inferno,Documentary,English,7.2,10/28/2016,107,2016
Walk. Ride. Rodeo.,Drama,English,6.4,3/8/2019,99,2019
The Willoughbys,Animation/Comedy/Adventure,English,6.4,4/22/2020,90,2020
Mrs. Serial Killer,Thriller,Hindi,4.8,5/1/2020,106,2020
Lost Bullet,Thriller,French,6.2,6/19/2020,92,2020
Despite Everything,Comedy,Spanish,5.4,5/3/2019,78,2019
Reversing Roe,Documentary,English,7.5,9/13/2018,99,2018
The Cloverfield Paradox,Science fiction,English,5.5,2/4/2018,102,2018
Spelling the Dream,Documentary,English,6.9,6/3/2020,83,2020
Mascots,Mockumentary,English,5.8,10/13/2016,95,2016
The Open House,Horror thriller,English,3.2,1/19/2018,94,2018
Rocko's Modern Life: Static Cling,Animation / Comedy,English,7,8/9/2019,45,2019
Rogue City,Crime drama,French,6.1,10/30/2020,116,2020
Feel the Beat,Family/Comedy-drama,English,6.3,6/19/2020,107,2020
Dolemite Is My Name,Biopic,English,7.3,10/25/2019,118,2019
Set It Up,Romantic comedy,English,6.5,6/15/2018,105,2018
True Memoirs of an International Assassin,Action comedy,English,5.9,11/11/2016,98,2016
Rising High,Satire,German,5.8,4/17/2020,94,2020
Paper Lives,Drama,Turkish,6.7,3/12/2021,97,2021
The Heartbreak Club,Comedy-drama,Indonesian,6.4,1/14/2021,101,2021
Special Correspondents,Satire,English,5.8,4/29/2016,100,2016
Nail Bomber: Manhunt,Documentary,English,6.3,5/26/2021,72,2021
Get Me Roger Stone,Documentary,English,7.3,5/12/2017,101,2017
"Ram Dass, Going Home",Documentary,English,7.1,4/6/2018,31,2018
Crip Camp: A Disability Revolution,Documentary,English,7.7,3/25/2020,108,2020
The Holiday Calendar,Romantic comedy,English,5.7,11/2/2018,95,2018
On My Skin,Crime drama,Italian,7.3,9/12/2018,100,2018
Layla Majnun,Romantic drama,Indonesian,6.4,2/11/2021,119,2021
After the Raid,Documentary,Spanish,4.3,12/19/2019,25,2019
Dick Johnson Is Dead,Documentary,English,7.5,10/2/2020,90,2020
LA Originals,Documentary,English,7.2,4/10/2020,92,2020
Work It,Dance comedy,English,6.1,8/7/2020,93,2020
The Misadventures of Hedi and Cokeman,Comedy,French,4.5,2/10/2021,99,2021
"Michael Bolton's Big, Sexy, Valentine's Day Special",Variety Show,English,6.7,2/7/2017,54,2017
The Ballad of Buster Scruggs,Western,English,7.3,11/16/2018,132,2018
Intuition,Thriller,Spanish,5.3,5/28/2020,116,2020
The Ivory Game,Documentary,English,7.9,11/4/2016,112,2016
Dancing with the Birds,Documentary,English,8.3,10/23/2019,51,2019
Bad Trip,Hidden-camera prank comedy,English,6.6,3/26/2021,86,2021
Fire in Paradise,Documentary,English,7.4,11/1/2019,39,2019
A Fall from Grace,Thriller,English,5.9,1/17/2020,120,2020
Ludo,Anthology/Dark comedy,Hindi,7.6,11/12/2020,149,2020
Crazy Awesome Teachers,Comedy-drama,Indonesian,6.2,8/17/2020,101,2020
Back to School,Comedy,French,5.3,8/30/2019,83,2019
Angela's Christmas Wish,Animation,English,7.1,12/1/2020,47,2020
Madame Claude,Drama,French,5.4,4/2/2021,112,2021
Soni,Crime drama,Hindi,7.2,1/18/2019,97,2019
Saving Capitalism,Documentary,English,6.8,11/21/2017,73,2017
Road to Roma,Making-of,Spanish,7.7,2/11/2020,72,2020
The Perfect Date,Romantic comedy,English,5.8,4/12/2019,89,2019
Upstarts,Drama,Hindi,6.7,10/18/2019,112,2019
Nobody Sleeps in the Woods Tonight,Horror,Polish,4.8,10/28/2020,103,2020
The Boys in the Band,Drama,English,6.8,9/30/2020,121,2020
The Princess Switch: Switched Again,Romantic comedy,English,5.4,11/19/2020,97,2020
All the Bright Places,Romance,English,6.5,2/28/2020,108,2020
Fearless,Animation/Superhero,English,4.9,8/14/2020,89,2020
Small Crimes,Dark comedy,English,5.8,4/28/2017,95,2017
Sitara: Let Girls Dream,Animation / Short,English,7.3,3/8/2020,15,2020
Loudon Wainwright III: Surviving Twin,One-man show,English,7.1,11/13/2018,91,2018
Rebirth,Thriller,English,5,7/15/2016,100,2016
Geez & Ann,Romantic drama,Indonesian,5.1,2/25/2021,105,2021
The Two Popes,Drama,English,7.6,12/20/2019,125,2019
Double Dad,Comedy-drama,Portuguese,5.6,1/15/2021,103,2021
Como Caído del Cielo,Musical comedy,Spanish,6.4,12/24/2019,112,2019
Sandy Wexler,Comedy,English,5.2,4/14/2017,131,2017
Operation Varsity Blues: The College Admissions Scandal,Documentary,English,7,3/17/2021,99,2021
Life Overtakes Me,Documentary,English/Swedish,6.5,6/14/2019,40,2019
The Discovery,Science fiction/Drama,English,6.3,3/31/2017,102,2017
Cops and Robbers,Animation / Short,English,6.9,12/28/2020,7,2020
My Octopus Teacher,Documentary,English,8.1,9/7/2020,85,2020
The Speed Cubers,Documentary,English,7.4,7/29/2020,40,2020
ReMastered: The Miami Showband Massacre,Documentary,English,7,3/22/2019,70,2019
The Devil All the Time,Psychological thriller,English,7.1,9/16/2020,138,2020
"Barbra: The Music, The Mem'ries, The Magic!",Concert Film,English,7.5,11/22/2017,108,2017
I Am the Pretty Thing That Lives in the House,Horror,English,4.6,10/28/2016,89,2016
Seaspiracy,Documentary,English,8.2,3/24/2021,89,2021
Extraction,Action,English,6.7,4/24/2020,117,2020
The Highwaymen,Crime drama,English,6.9,3/29/2019,131,2019
Rooting for Roona,Documentary,Bengali,7.1,10/15/2020,41,2020
ReMastered: Massacre at the Stadium,Documentary,English/Spanish,7.3,1/11/2019,64,2019
Spectral,Science fiction/Action,English,6.3,12/9/2016,108,2016
Juanita,Drama,English,6,3/8/2019,90,2019
"Crack: Cocaine, Corruption & Conspiracy",Documentary,English,6.7,1/11/2021,89,2021
The Land of Steady Habits,Drama,English,6.2,9/14/2018,98,2018
Searching for Sheela,Documentary,English,4.1,4/22/2021,58,2021
Pagglait,Comedy-drama,Hindi,6.9,3/26/2021,114,2021
Becoming,Documentary,English,6.8,5/6/2020,89,2020
Arlo the Alligator Boy,Animated musical comedy,English,6.7,4/16/2021,92,2021
Roxanne Roxanne,Biopic,English,6.2,3/23/2018,98,2018
Choked: Paisa Bolta Hai,Drama,Hindi,5.8,6/5/2020,114,2020
Just Say Yes,Romantic comedy,Dutch,4.5,4/2/2021,97,2021
The Day of the Lord,Drama,Spanish,4.9,10/30/2020,93,2020
Milestone,Drama,Hindi,6.6,5/7/2021,98,2021
Sardar Ka Grandson,Comedy,Hindi,4.1,5/18/2021,139,2021
The After Party,Comedy,English,5.8,8/24/2018,89,2018
Gaga: Five Foot Two,Documentary,English,7,9/22/2017,100,2017
Disclosure: Trans Lives on Screen,Documentary,English,8.2,6/19/2020,107,2020
A Love Song for Latasha,Documentary,English,6.8,9/21/2020,19,2020
Struggle: The Life and Lost Art of Szukaiski,Documentary,English,8,12/21/2018,105,2018
1922,Horror/Crime drama,English,6.3,10/20/2017,102,2017
22-Jul,Drama,English,6.8,10/10/2018,144,2018
Hot Girls Wanted,Documentary,English,6.1,5/29/2015,84,2015
Klaus,Animation/Christmas/Comedy/Adventure,English,8.2,11/15/2019,97,2019
The Boys in the Band: Something Personal,Aftershow / Interview,English,6.8,9/30/2020,28,2020
I Don't Feel at Home in This World Anymore,Drama,English,6.9,2/24/2017,96,2017
Earth and Blood,Action,French,4.9,4/17/2020,80,2020
Nobody Speak: Trials of the Free Press,Documentary,English,6.5,6/23/2017,95,2017
Òlòt?ré,Crime drama,English,5.5,10/2/2020,106,2020
The Prom,Musical,English,5.9,12/11/2020,132,2020
